,stock_id,date_id,seconds_in_bucket,imbalance_size,imbalance_buy_sell_flag,reference_price,matched_size,far_price,near_price,bid_price,bid_size,ask_price,ask_size,wap,target,time_id,row_id
12035,2,1,80,752128.73,1,0.999699,4344446.85,,,0.999485,36492.3,0.999699,49977.06,0.999575,-3.7300587,63,1_80_2
12226,2,1,90,752128.73,1,0.999645,4344446.85,,,0.998897,18703.0,0.999699,19279.54,0.999292,-3.349781,64,1_90_2
12417,2,1,100,752128.73,1,0.999645,4344446.85,,,0.998897,44887.2,0.999699,14974.4,0.999498,-6.210208,65,1_100_2
12608,2,1,110,752128.73,1,0.999699,4344446.85,,,0.998897,44887.2,0.999699,33692.4,0.999355,-2.359748,66,1_110_2
12799,2,1,120,752128.73,1,0.999699,4344446.85,,,0.998897,44887.2,0.999699,33879.58,0.999354,-3.9499998,67,1_120_2
12990,2,1,130,752128.73,1,0.999645,4344446.85,,,0.998897,37406.0,0.999699,72438.66,0.99917,-3.6901236,68,1_130_2
13181,2,1,140,751005.32,1,0.999699,4345570.27,,,0.999271,1871.0,0.999699,57277.08,0.999285,-4.5502186,69,1_140_2
13372,2,1,150,751005.32,1,0.999699,4345570.27,,,0.999271,1871.0,0.999699,57277.08,0.999285,-1.1998415,70,1_150_2
13563,2,1,160,751005.32,1,0.999699,4345570.27,,,0.999271,1871.0,0.999699,67010.44,0.999283,6.610155,71,1_160_2
13754,2,1,170,651582.77,1,0.999645,4447239.65,,,0.999271,38542.6,0.999699,104446.44,0.999387,14.389753,72,1_170_2
13945,2,1,180,636416.62,1,0.999592,4482627.34,,,0.998951,19452.16,0.999645,38931.36,0.999182,15.829802,73,1_180_2
14136,2,1,190,903790.24,1,0.999592,4485435.88,,,0.998951,19452.16,0.999645,81606.12,0.999085,18.470287,74,1_190_2
14327,2,1,200,899858.28,1,0.999592,4489367.85,,,0.998951,19452.16,0.999645,66632.52,0.999108,15.369654,75,1_200_2
14518,2,1,210,883194.23,1,0.999592,4511461.75,,,0.998951,38717.28,0.999645,45669.48,0.99927,14.469624,76,1_210_2
14709,2,1,220,4277041.74,1,0.999592,4511461.75,,,0.999645,10668.69,1.001301,37496.0,1.000012,3.5500526,77,1_220_2
14900,2,1,230,4238658.27,1,1.001194,4549845.21,,,1.000126,29212.56,1.001301,18748.0,1.000842,-6.2698126,78,1_230_2
15091,2,1,240,4239594.45,1,1.001194,4564449.66,,,1.000126,29212.56,1.001301,18748.0,1.000842,-2.359748,79,1_240_2
15282,2,1,250,4352123.55,1,1.001194,4611258.76,,,1.000233,41201.6,1.001301,18935.48,1.000965,-8.680224,80,1_250_2
15473,2,1,260,4334148.85,1,1.001194,4673046.78,,,1.000233,41201.6,1.000767,1499.04,1.000748,-4.0000677,81,1_260_2
15664,2,1,270,4352872.49,1,1.001194,4673046.78,,,1.000233,22473.6,1.001301,18935.48,1.000813,9.629726,82,1_270_2
15855,2,1,280,4260003.22,1,1.001141,4823772.11,,,1.000233,19851.68,1.001301,20060.36,1.000764,10.709763,83,1_280_2
16046,2,1,290,3909309.39,1,1.001247,5255164.84,,,1.000233,20413.52,1.001301,20060.36,1.000772,17.44032,84,1_290_2
16237,2,1,300,2157525.37,1,1.001194,7706838.64,1.041571,1.034574,1.000286,7117.02,1.001247,2062.17,1.001032,6.6804886,85,1_300_2
16428,2,1,310,2056792.17,1,1.001141,7807571.84,1.039702,1.021489,1.000233,64424.32,1.001247,55303.65,1.000779,7.530451,86,1_310_2
16619,2,1,320,2013727.79,1,1.001194,7850636.21,1.039702,1.021489,1.00066,18736.0,1.001247,55303.65,1.000809,10.969639,87,1_320_2
16810,2,1,330,1880415.45,1,1.002796,7967846.22,1.038687,1.021489,1.001942,22136.8,1.002903,39058.24,1.00229,-2.760291,88,1_330_2
17001,2,1,340,1880415.45,1,1.002583,7967846.22,1.038687,1.021489,1.001942,1876.0,1.002903,37556.0,1.001988,-3.5101175,89,1_340_2
17192,2,1,350,1880415.45,1,1.002476,7967846.22,1.038687,1.021169,1.001515,3562.88,1.00285,1502.16,1.002454,-1.8298626,90,1_350_2
17383,2,1,360,1885283.6,1,1.002422,7971590.95,1.038687,1.021329,1.001301,18748.0,1.002262,21205.58,1.001752,-1.7797947,91,1_360_2
17574,2,1,370,1885283.6,1,1.001728,7971590.95,1.038687,1.021169,1.00082,21549.85,1.002155,40530.24,1.001284,1.1396408,92,1_370_2
17765,2,1,380,1829112.67,1,1.001728,8027761.88,1.038687,1.021169,1.000874,25299.0,1.001995,2438.93,1.001897,-4.619956,93,1_380_2
17956,2,1,390,1829112.67,1,1.001728,8027761.88,1.038687,1.021169,1.000927,25300.35,1.001942,3939.6,1.001805,-12.999773,94,1_390_2
18147,2,1,400,1754218.1,1,1.001461,8102656.45,1.038687,1.021863,1.000927,100264.35,1.001568,23253.72,1.001447,-17.830133,95,1_400_2
18338,2,1,410,1754218.1,1,1.002075,8102656.45,1.038687,1.021489,1.001247,66364.38,1.002155,938.2,1.002143,-30.329823,96,1_410_2
18529,2,1,420,1752907.44,1,1.001782,8103967.1,1.038687,1.021436,1.001408,5625.0,1.002155,38278.56,1.001504,-12.059808,97,1_420_2
18720,2,1,430,1678012.87,1,1.001568,8178861.67,1.037672,1.021489,1.001247,9748.44,1.001675,7502.0,1.001489,-18.16988,98,1_430_2
18911,2,1,440,1650489.12,1,1.001194,8213874.89,1.035803,1.020101,1.000874,77771.0,1.001515,17251.84,1.001398,-12.170076,99,1_440_2
