,stock_id,date_id,seconds_in_bucket,imbalance_size,imbalance_buy_sell_flag,reference_price,matched_size,far_price,near_price,bid_price,bid_size,ask_price,ask_size,wap,target,time_id,row_id
9168,0,0,480,1268787.96,1,0.999491,26804603.87,1.000241,1.000241,0.999383,87767.07,0.999491,18656.0,0.999472,-1.3202429,48,0_480_0
9359,0,0,490,1180033.46,1,0.999383,26910717.29,1.000241,1.000026,0.999276,52971.68,0.999383,33390.66,0.999342,0.18954277,49,0_490_0
9550,0,0,500,1158754.78,1,0.999491,26914637.05,1.000241,1.000026,0.999383,52137.93,0.999491,81899.84,0.999425,0.97990036,50,0_500_0
9741,0,0,510,1088759.13,1,0.999598,26967180.45,1.000241,1.000241,0.999491,43188.64,0.999598,9329.0,0.999579,0.6496906,51,0_510_0
9932,0,0,520,1008684.09,1,0.999598,27047255.49,1.000241,1.000026,0.999383,19493.43,0.999598,78456.89,0.999426,6.7794323,52,0_520_0
10123,0,0,530,998138.08,1,0.999491,27075253.75,1.000241,1.000026,0.999383,70978.47,0.999491,35166.56,0.999455,6.1404705,53,0_530_0
10314,0,0,540,906957.07,1,0.999383,27183793.68,1.000241,0.999919,0.999276,111912.0,0.999383,9793.35,0.999375,9.759665,54,0_540_0
10505,0,1,0,1870169.4,1,0.999923,5132566.71,,,0.999601,9302.0,1.000998,23287.5,1.0,-14.089942,55,1_0_0
10696,0,1,10,1112218.97,1,0.999278,5890517.14,,,0.999064,8088.39,0.999493,23252.5,0.999175,-3.079772,56,1_10_0
10887,0,1,20,937829.89,1,0.998634,6064906.23,,,0.998419,5574.6,0.998634,52412.52,0.998439,2.54035,57,1_20_0
11078,0,1,30,937829.89,1,0.998204,6064906.23,,,0.997989,14673.46,0.998204,41800.5,0.998045,2.3901463,58,1_30_0
11269,0,1,40,937829.89,1,0.998634,6064906.23,,,0.998419,4738.41,0.998634,4646.5,0.998527,-0.5400181,59,1_40_0
11460,0,1,50,450954.91,1,0.998634,6551781.2,,,0.998526,1022.12,0.998634,17935.49,0.998532,0.7402897,60,1_50_0
11651,0,1,60,450954.91,1,0.998419,6551781.2,,,0.998311,5295.3,0.998419,3995.13,0.998373,-0.6598234,61,1_60_0
11842,0,1,70,418198.8,1,0.998849,6603055.69,,,0.998634,5668.73,0.998849,5391.1,0.998744,-4.2301416,62,1_70_0
12033,0,1,80,484920.77,1,0.998741,6640278.54,,,0.998634,35127.54,0.998741,15428.04,0.998708,-3.169775,63,1_80_0
12224,0,1,90,484920.77,1,0.998419,6640278.54,,,0.998311,4459.2,0.998419,10034.28,0.998344,1.4698505,64,1_90_0
12415,0,1,100,480081.8,1,0.998419,6645117.51,,,0.998311,13749.2,0.998419,12357.03,0.998368,-0.84996223,65,1_100_0
12606,0,1,110,480081.8,1,0.998849,6645117.51,,,0.998634,13753.64,0.998849,18218.2,0.998726,-2.7900934,66,1_110_0
12797,0,1,120,480081.8,1,0.998526,6645117.51,,,0.998419,7154.07,0.998526,15610.56,0.998453,1.0895729,67,1_120_0
12988,0,1,130,475801.17,1,0.998526,6649398.14,,,0.998311,24618.5,0.998526,20070.72,0.99843,1.1003017,68,1_130_0
13179,0,1,140,448907.66,1,0.998526,6676291.66,,,0.998419,15423.06,0.998526,14774.28,0.998474,2.629757,69,1_140_0
13370,0,1,150,327188.91,1,0.998849,6798010.4,,,0.998526,43393.64,0.998849,4461.6,0.998819,-2.3502111,70,1_150_0
13561,0,1,160,327188.91,1,0.998741,6798010.4,,,0.998634,9293.0,0.998741,9386.94,0.998687,-3.7497282,71,1_160_0
13752,0,1,170,431692.09,1,0.998741,6798010.4,,,0.998634,28622.44,0.998741,9294.0,0.998715,0.9703636,72,1_170_0
13943,0,1,180,1081324.0,1,0.998634,6862964.29,,,0.998741,9294.0,0.998849,13756.6,0.998785,1.8894672,73,1_180_0
14134,0,1,190,1008460.26,1,0.998956,6967560.51,,,0.998741,13941.0,0.998956,23054.08,0.998822,3.9696693,74,1_190_0
14325,0,1,200,957651.06,1,0.999064,7018369.71,,,0.998849,32439.55,0.999064,9761.85,0.999014,1.3303757,75,1_200_0
14516,0,1,210,957651.06,1,0.998741,7018369.71,,,0.998634,4646.5,0.998741,4461.12,0.998689,4.529953,76,1_210_0
14707,0,1,220,957651.06,1,0.998526,7018369.71,,,0.998311,24804.3,0.998526,51013.08,0.998382,6.4504147,77,1_220_0
14898,0,1,230,957651.06,1,0.998849,7018369.71,,,0.998634,43212.45,0.998849,4461.6,0.998829,3.2401085,78,1_230_0
15089,0,1,240,870084.29,1,0.999064,7111426.86,,,0.998956,32628.96,0.999064,4462.56,0.999051,0.18954277,79,1_240_0
15280,0,1,250,1079183.69,1,0.999278,7115986.66,,,0.999171,46025.1,0.999278,13762.52,0.999254,-4.6902895,80,1_250_0
15471,0,1,260,1064945.94,1,0.999278,7213417.49,,,0.999064,24637.05,0.999386,17577.0,0.999252,-4.889965,81,1_260_0
15662,0,1,270,1034981.54,1,0.999386,7243381.89,,,0.999171,14969.78,0.999386,33015.0,0.999238,-6.3198805,82,1_270_0
15853,0,1,280,2333966.2,1,0.999278,7966435.89,,,0.999278,8927.04,0.999493,4464.48,0.999422,-4.5901537,83,1_280_0
16044,0,1,290,2769008.34,1,0.999601,9297432.2,,,0.999601,4464.96,0.999816,4465.92,0.999708,-6.6697598,84,1_290_0
16235,0,1,300,2644684.0,1,0.999601,11260472.63,1.018514,1.010132,0.999493,93.01,0.999601,6511.4,0.999495,-5.5897236,85,1_300_0
16426,0,1,310,1747240.91,1,0.999493,12157915.71,1.015505,1.006049,0.999386,49290.0,0.999493,15625.68,0.999468,0.08940697,86,1_310_0
16617,0,1,320,1721371.03,1,0.999278,12183785.6,1.015075,1.004437,0.999171,33472.8,0.999278,34685.27,0.999224,1.5294552,87,1_320_0
16808,0,1,330,1710204.17,1,0.999171,12194952.46,1.01486,1.004437,0.999064,31330.89,0.999171,29846.58,0.999119,2.2697449,88,1_330_0
16999,0,1,340,1710111.11,1,0.999171,12195045.51,1.01486,1.004437,0.999064,39884.13,0.999171,44537.42,0.999114,2.3698807,89,1_340_0
17190,0,1,350,1710111.11,1,0.999064,12195045.51,1.01486,1.004437,0.998956,19521.6,0.999064,74654.91,0.998978,0.04053116,90,1_350_0
17381,0,1,360,1710111.11,1,0.999064,12195045.51,1.01486,1.004437,0.998956,37091.04,0.999064,90180.9,0.998987,0.1502037,91,1_360_0
17572,0,1,370,1710111.11,1,0.999278,12195045.51,1.01486,1.004437,0.999064,36072.36,0.999278,11158.8,0.999228,-3.2502413,92,1_370_0
17763,0,1,380,1680146.71,1,0.999386,12225009.91,1.01486,1.004437,0.999278,29198.86,0.999386,6603.0,0.999366,-2.1600723,93,1_380_0
17954,0,1,390,1670654.89,1,0.999171,12234501.74,1.014538,1.004114,0.999064,42673.23,0.999171,18596.0,0.999138,-0.7098913,94,1_390_0
18145,0,1,400,1641993.29,1,0.999171,12263163.34,1.014538,1.004114,0.999064,62661.78,0.999171,5206.88,0.999163,-1.1199713,95,1_400_0
18336,0,1,410,1570153.17,1,0.998956,12335003.46,1.014538,1.004114,0.998849,8272.55,0.998956,118988.8,0.998856,1.0097027,96,1_410_0
18527,0,1,420,1566523.94,1,0.998956,12338632.69,1.014538,1.004114,0.998849,48241.05,0.998956,13386.24,0.998933,5.4502487,97,1_420_0
18718,0,1,430,1530510.83,1,0.999064,12374645.8,1.01443,1.004114,0.998849,67295.8,0.999064,32446.53,0.998994,5.300045,98,1_430_0
18909,0,1,440,1516738.37,1,0.999171,12388418.26,1.008842,1.00218,0.999064,42301.35,0.999171,46304.04,0.999115,3.6597252,99,1_440_0
